name,quantity,unit,category,orderDate,replenishmentTime
Toothpaste,12,tubes,Personal Care,2024-12-25,12
Cereal,12,packs,Grocery,2025-01-11,9
Beans,8,packs,Grocery,2024-12-13,7
Tofu,13,packs,Protein,2025-02-06,10
Laundry Detergent,13,bottles,Cleaning,2024-12-16,13
Salt,11,packs,Grocery,2025-03-06,7
Deodorant,13,packs,Personal Care,2025-01-17,14
Beans,13,grams,Grocery,2025-01-10,10
Orange,0,packs,Fresh Produce,2025-02-24,7
Lentils,25,packs,Grocery,2025-01-28,17
Flour,10,packs,Grocery,2024-12-11,14
Orange,14,bunches,Fresh Produce,2025-01-30,3
Hand Sanitizer,13,boxes,Cleaning,2025-02-13,18
Face Wash,12,bars,Personal Care,2025-02-28,19
Deodorant,12,bars,Personal Care,2025-03-03,15
Deodorant,9,bottles,Personal Care,2025-02-07,11
Soap,13,bottles,Personal Care,2024-12-29,11
Coffee,21,liters,Beverages,2025-01-16,13
Tofu,7,grams,Protein,2025-01-01,9
Laundry Detergent,6,bottles,Cleaning,2025-01-09,11
Moisturizer,20,bottles,Personal Care,2024-12-18,13
Garlic,14,grams,Fresh Produce,2025-01-11,2
Flour,12,packs,Grocery,2025-01-09,18
Shaving Cream,18,packs,Personal Care,2025-02-02,10
Toothpaste,18,bottles,Personal Care,2025-01-06,14
Face Wash,16,bottles,Personal Care,2025-01-21,11
Flour,14,boxes,Grocery,2025-03-05,12
Tofu,12,kilograms,Protein,2024-12-24,9
Potatoes,16,grams,Fresh Produce,2025-02-12,3
Sugar,0,boxes,Grocery,2025-01-22,12
Pasta,22,boxes,Grocery,2025-02-04,19
Toothpaste,15,bars,Personal Care,2025-02-17,19
Dish Soap,0,packs,Cleaning,2025-01-05,11
Olive Oil,18,bottles,Beverages,2025-02-10,15
Sugar,25,grams,Grocery,2025-01-23,17
Cheese,16,packs,Dairy,2025-02-20,5
Toothpaste,0,bottles,Personal Care,2024-12-25,13
Rice,9,packs,Grocery,2025-01-07,14
Coffee,13,cans,Beverages,2025-02-27,10
Face Wash,13,packs,Personal Care,2025-01-16,19
Orange,0,bunches,Fresh Produce,2025-01-17,2
Spinach,18,bunches,Fresh Produce,2024-12-09,5
Orange,27,bunches,Fresh Produce,2025-02-13,7
Dish Soap,13,cans,Cleaning,2025-02-25,20
Apple,23,kilograms,Fresh Produce,2025-01-08,6
Laundry Detergent,0,cans,Cleaning,2025-03-05,14
Chicken,12,kilograms,Protein,2025-02-10,4
Toilet Paper,12,packs,Cleaning,2025-01-27,17
Butter,17,liters,Dairy,2025-01-27,8
Pasta,15,boxes,Grocery,2025-03-07,9
Dish Soap,13,boxes,Cleaning,2025-01-01,15
Apple,19,kilograms,Fresh Produce,2025-01-23,3
Chicken,11,grams,Protein,2025-03-02,10
Olive Oil,0,cans,Beverages,2025-03-07,11
Sugar,0,grams,Grocery,2024-12-22,17
